manuscript_type,novel_biologging,other_data,biologging_fair,other_fair,authors,title,source,year,volume,issue,doi,pub_type,id
,,,,,"Melovski, D; Ivanov, G; Stojanov, A; Avukatov, V; Gonuv, A; Pavlov, A; Breitenmoser, U; von Arx, M; Filla, M; Krofel, M; Signer, J; Balkenhol, N","First insight into the spatial and foraging ecology of the critically endangered Balkan lynx (Lynx lynx balcanicus, Buresh 1941)",HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY,2020,31,1,10.4404/hystrix-00254-2015,J,melovski2020
,,,,,"Nussbaumer, R; Gravey, M; Briedis, M; Liechti, F",Global positioning with animal-borne pressure sensors,METHODS IN ECOLOGY AND EVOLUTION,2023,14,4,10.1111/2041-210X.14043,J,nussbaumer2023a
,,,,,"Paun, I; Husmeier, D; Hopcraft, JGC; Masolele, MM; Torney, CJ",Inferring spatially varying animal movement characteristics using a hierarchical continuous-time velocity model,ECOLOGY LETTERS,2022,25,12,10.1111/ele.14117,J,paun2022
,,,,,"Khosravifard, S; Venus, V; Skidmore, AK; Bouten, W; Munoz, AR; Toxopeus, AG",Identification of Griffon Vulture's Flight Types Using High-Resolution Tracking Data,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,2018,12,3,10.1007/s41742-018-0093-z,J,khosravifard2018
,,,,,"Mercker, M; Schwemmer, P; Peschko, V; Enners, L; Garthe, S",Analysis of local habitat selection and large-scale attraction/avoidance based on animal tracking data: is there a single best method?,MOVEMENT ECOLOGY,2021,9,1,10.1186/s40462-021-00260-y,J,mercker2021
,,,,,"Daunt, F; Reed, TE; Newell, M; Burthe, S; Phillips, RA; Lewis, S; Wanless, S",Longitudinal bio-logging reveals interplay between extrinsic and intrinsic carry-over effects in a long-lived vertebrate,ECOLOGY,2014,95,8,10.1890/13-1797.1,J,daunt2014
,,,,,"Smouse, PE; Focardi, S; Moorcroft, PR; Kie, JG; Forester, JD; Morales, JM",Stochastic modelling of animal movement,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2010,365,1550,10.1098/rstb.2010.0078,J,smouse2010
,,,,,"Kour, H; Patison, KP; Corbet, NJ; Swain, DL",Recording cattle maternal behaviour using proximity loggers and tri-axial accelerometers,APPLIED ANIMAL BEHAVIOUR SCIENCE,2021,240,NA,10.1016/j.applanim.2021.105349,J,kour2021a
,,,,,"Parga, JA",Nocturnal ranging by a diurnal primate: are ring-tailed lemurs (Lemur catta) cathemeral?,PRIMATES,2011,52,3,10.1007/s10329-011-0257-3,J,parga2011
,,,,,"Shuert, CR; Marcoux, M; Hussey, NE; Heide-Jorgensen, MP; Dietz, R; Auger-Methe, M",Decadal migration phenology of a long-lived Arctic icon keeps pace with climate change,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2022,119,45,10.1073/pnas.2121092119,J,shuert2022
,,,,,"Janeau, G; Adrados, C; Joachim, J; Gendner, JP; Pepin, D",Performance of differential GPS collars in temperate mountain forest,COMPTES RENDUS BIOLOGIES,2004,327,12,10.1016/j.crvi.2004.07.014,J,janeau2004
,,,,,"Afonso, AS; Hazin, FHV","Post-release survival and behavior and exposure to fisheries in juvenile tiger sharks, Galeocerdo cuvier, from the South Atlantic",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,2014,454,NA,10.1016/j.jembe.2014.02.008,J,afonso2014
,,,,,"Cardona, L; Revelles, M; Carreras, C; San Felix, M; Gazo, M; Aguilar, A",Western Mediterranean immature loggerhead turtles: habitat use in spring and summer assessed through satellite tracking and aerial surveys,MARINE BIOLOGY,2005,147,3,10.1007/s00227-005-1578-9,J,cardona2005
,,,,,"Lennox, RJ; Dahlmo, LS; Ford, AT; Sortland, LK; Vogel, EF; Vollset, KW",Predation research with electronic tagging,WILDLIFE BIOLOGY,2023,2023,1,10.1002/wlb3.01045,J,lennox2023a
,,,,,"Gardaloud, NR; Guse, C; Lidauer, L; Steininger, A; Kickinger, F; Ohlschuster, M; Auer, W; Iwersen, M; Drillich, M; Klein-Jobstl, D",Early Detection of Respiratory Diseases in Calves by Use of an Ear-Attached Accelerometer,ANIMALS,2022,12,9,10.3390/ani12091093,J,gardaloud2022
,,,,,"van der Kolk, HJ; Desmet, P; Oosterbeek, K; Allen, AM; Baptist, MJ; Bom, RA; Davidson, SC; Jong, JD; Kroon, HD; Dijkstra, B; Dillerop, R; Dokter, AM; Frauendorf, M; Milotic, T; Rakhimberdiev, E; Shamoun-Baranes, J; Spanoghe, G; van de Pol, M; Van Ryckegem, G; Vanoverbeke, J; Jongejans, E; Ens, BJ",GPS tracking data of Eurasian oystercatchers (Haematopus ostralegus) from the Netherlands and Belgium,ZOOKEYS,2022,NA,1123,10.3897/zookeys.1123.90623,J,vanderkolk2022a
,,,,,"Lonergan, M; Duck, CD; Thompson, D; Moss, S; McConnell, B",British grey seal (Halichoerus grypus) abundance in 2008: an assessment based on aerial counts and satellite telemetry,ICES JOURNAL OF MARINE SCIENCE,2011,68,10,10.1093/icesjms/fsr161,J,lonergan2011
,,,,,"Skarin, A; Danell, O; Bergstrom, R; Moen, J",Summer habitat preferences of GPS-collared reindeer Rangifer tarandus tarandus,WILDLIFE BIOLOGY,2008,14,1,10.2981/0909-6396(2008)14[1:SHPOGR]2.0.CO;2,J,skarin2008
,,,,,"JANEAU, G; SPITZ, F; LECRIVAIN, E; DARDAILLON, M; KOWALSKI, C",AN AUTOMATIC BIOTELEMETRY SYSTEM FOR FREE RANGING ANIMALS,ACTA OECOLOGICA-OECOLOGIA APPLICATA,1987,8,4,NA,J,janeau1987
,,,,,"Rogers, PJ; Huveneers, C; Page, B; Goldsworthy, SD; Coyne, M; Lowther, AD; Mitchell, JG; Seuront, L","Living on the continental shelf edge: habitat use of juvenile shortfin makos Isurus oxyrinchus in the Great Australian Bight, southern Australia",FISHERIES OCEANOGRAPHY,2015,24,3,10.1111/fog.12103,J,rogers2015
,,,,,"Epstein, JH; Olival, KJ; Pulliam, JRC; Smith, C; Westrum, J; Hughes, T; Dobson, AP; Zubaid, A; Rahman, SA; Basir, MM; Field, HE; Daszak, P","Pteropus vampyrus, a hunted migratory species with a multinational home-range and a need for regional management",JOURNAL OF APPLIED ECOLOGY,2009,46,5,10.1111/j.1365-2664.2009.01699.x,J,epstein2009
,,,,,"Blanchet, MA; Acquarone, M; Biuw, M; Larsen, R; Nordoy, ES; Folkow, LP",A Life After Research? First Release of Harp Seals (Pagophilus groenlandicus) After Temporary Captivity for Scientific Purposes,AQUATIC MAMMALS,2018,44,4,10.1578/AM.44.4.2018.343,J,blanchet2018
,,,,,"Volpov, BL; Hoskins, AJ; Battaile, BC; Viviant, M; Wheatley, KE; Marshall, G; Abernathy, K; Arnould, JPY",Identification of Prey Captures in Australian Fur Seals (Arctocephalus pusillus doriferus) Using Head-Mounted Accelerometers: Field Validation with Animal-Borne Video Cameras,PLOS ONE,2015,10,6,10.1371/journal.pone.0128789,J,volpov2015
,,,,,"Shimada, T; Limpus, C; Jones, R; Hamann, M",Aligning habitat use with management zoning to reduce vessel strike of sea turtles,OCEAN & COASTAL MANAGEMENT,2017,142,NA,10.1016/j.ocecoaman.2017.03.028,J,shimada2017
,,,,,"Huon, M; Planque, Y; Jessopp, MJ; Cronin, M; Caurant, F; Vincent, C",Fine-scale foraging habitat selection by two diving central place foragers in the Northeast Atlantic,ECOLOGY AND EVOLUTION,2021,11,18,10.1002/ece3.7934,J,huon2021
