name
Accipiter gentilis
Acinonyx jubatus
Acipenser transmontanus
Acryllium vulturinum
Aepyceros melampus
Aetobatus narinari
Ailuropoda melanoleuca
Ailurus fulgens
Alca torda
Alces alces
Alle alle
Alligator mississippiensis
Alopias pelagicus
Alopias vulpinus
Alopochen aegyptiacus
Alouatta pigra
Amblyrhynchus cristatus
Ammotragus lervia
Anas acuta
Anas acutais
Anas clypeata
Anas crecca
Anas cyanoptera
Anas gracilis
Anas penelope
Anas platyrhynchos
Anas querquedula
Anas strepera
Anas superciliosa
Anguilla anguilla
Anguilla japonica
Anous stolidus
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser fabalis
Anser indicus
Anser serrirostris
Antidorcas marsupialis
Antigone canadensis
Antilocapra americana
Antrostomus vociferus
Aptenodytes forsteri
Aptenodytes patagonicus
Aquila chrysaetos
Aquila fasciata
Arctocephalus australis
Arctocephalus gazella
Arctocephalus tropicalis
Ardenna gravis
Ardenna grisea
Ardenna tenuirostris
Argyrosomus japonicus
Ateles geoffroyi
Athene noctua
Axis axis
Balaena mysticetus
Balaenoptera bonaerensis
Balaenoptera edeni brydei
Balaenoptera musculus
Balaenoptera musuclus
Balaenoptera physalus
Baleaenoptera brydei
Bison bison
Bison bonasus
Bos gaurus
Bos taurus
Branta bernicla
Branta canadensis
Branta leucopsis
Bubalus bubalis
Bubo scandiacus
Budorcas taxicolor
Bufotes viridis
Burhinus oedicnemus
Buteo buteo
Buteo lagopus
Bycanistes albotibialis
Caiman latirostris
Calidris canutus piersmai
Callorhinus ursinus
Calonectris borealis
Calonectris diomedea
Calonectris edwardsii
Calonectris leucomelas
Camelus bactrianus
Camelus dromedarius
Cancer magister
Canis Lupus
Canis aureus
Canis latrans
Canis lupus
Canis lupus dingo
Canis mesomelas
Canis rufus
Capra aegagrus
Capra aegagrus hircus
Capra ibex
Capreolus capreolus
Caprimulgus europaeus
Caracal caracal
Carcharhinus albimarginatus
Carcharhinus amblyrhynchos
Carcharhinus falciformis
Carcharhinus galapagensis
Carcharhinus leucas
Carcharhinus limbatus
Carcharhinus longimanus
Carcharhinus melanopterus
Carcharhinus obscurus
Carcharhinus perezi
Carcharhinus plumbeus
Carcharias taurus
Carcharodon carcharias
Caretta Caretta
Caretta caretta
Castor canadensis
Castor fiber
Cathartes aura
Cebus capucinus
Centrocercus urophasianus
Ceratogymna atrata
Cervus canadensis
Cervus elaphus
Cervus elephas
Cetorhinus maximus
Chaetura pelagica
Charadrius montanus
Chelonia mydas
