TSN|Scientific Name|Author|Rank Name|Credibility|Name Usage|Accepted TSN|Accepted Name
175300|Accipiter gentilis|(Linnaeus, 1758)|Species        |Reviewed|valid||
183813|Acinonyx jubatus|(Schreber, 1775)|Species        |Reviewed|valid||
161068|Acipenser transmontanus|Richardson, 1836|Species        |Reviewed|valid||
176133|Acryllium vulturinum|(Hardwicke, 1834)|Species        |Reviewed|valid||
625076|Aepyceros melampus|(Lichtenstein, 1812)|Species        |Reviewed|valid||
160978|Aetobatus narinari|(Euphrasen, 1790)|Species        |Reviewed|valid||
621845|Ailuropoda melanoleuca|(David, 1869)|Species        |Reviewed|valid||
621846|Ailurus fulgens|F. G. Cuvier, 1825|Species        |Reviewed|valid||
176971|Alca torda|Linnaeus, 1758|Species        |Reviewed|valid||
180703|Alces alces|(Linnaeus, 1758)|Species        |Reviewed|valid||
176982|Alle alle|(Linnaeus, 1758)|Species        |Reviewed|valid||
551771|Alligator mississippiensis|(Daudin, 1802)|Species        |Reviewed|valid||
159922|Alopias pelagicus|Nakamura, 1935|Species        |Reviewed|valid||
159916|Alopias vulpinus|(Bonnaterre, 1788)|Species        |Reviewed|valid||
553909|Alopochen aegyptiacus|(Linnaeus, 1766)|Species        |Reviewed|invalid|175214|Alopochen aegyptiaca
572940|Alouatta pigra|Lawrence, 1933|Species        |Reviewed|valid||
566844|Amblyrhynchus cristatus|Bell, 1825|Species        |Reviewed|valid||
180719|Ammotragus lervia|(Pallas, 1777)|Species        |Reviewed|valid||
175074|Anas acuta|Linnaeus, 1758|Species        |Reviewed|valid||
|Anas acutais|||||
175096|Anas clypeata|Linnaeus, 1758|Species        |Reviewed|invalid|1192580|Spatula clypeata
175081|Anas crecca|Linnaeus, 1758|Species        |Reviewed|valid||
175089|Anas cyanoptera|Vieillot, 1816|Species        |Reviewed|invalid|1193067|Spatula cyanoptera cyanoptera
553920|Anas gracilis|Buller, 1869|Species        |Reviewed|valid||
175092|Anas penelope|Linnaeus, 1758|Species        |Reviewed|invalid|1192583|Mareca penelope
175063|Anas platyrhynchos|Linnaeus, 1758|Species        |Reviewed|valid||
175093|Anas querquedula|Linnaeus, 1758|Species        |Reviewed|invalid|1192571|Spatula querquedula
175073|Anas strepera|Linnaeus, 1758|Species        |Reviewed|invalid|1193068|Mareca strepera strepera
175115|Anas superciliosa|J. F. Gmelin, 1789|Species        |Reviewed|valid||
161128|Anguilla anguilla|(Linnaeus, 1758)|Species        |Reviewed|valid||
161134|Anguilla japonica|Temminck and Schlegel, 1846|Species        |Reviewed|valid||
176941|Anous stolidus|(Linnaeus, 1758)|Species        |Reviewed|valid||
175020|Anser albifrons|(Scopoli, 1769)|Species        |Reviewed|valid||
175028|Anser anser|(Linnaeus, 1758)|Species        |Reviewed|valid||
175036|Anser brachyrhynchus|Baillon, 1834|Species        |Reviewed|valid||
175024|Anser fabalis|(Latham, 1787)|Species        |Reviewed|valid||
175034|Anser indicus|(Latham, 1790)|Species        |Reviewed|valid||
1192566|Anser serrirostris|Gould, 1852|Species        |Reviewed|valid||
625085|Antidorcas marsupialis|(Zimmermann, 1780)|Species        |Reviewed|valid||
|Antigone canadensis|||||
180717|Antilocapra americana|(Ord, 1815)|Species        |Reviewed|valid||
1077358|Antrostomus vociferus|(A. Wilson, 1812)|Species        |Reviewed|valid||
174449|Aptenodytes forsteri|G. R. Gray, 1844|Species        |Reviewed|valid||
174450|Aptenodytes patagonicus|J. F. Miller, 1778|Species        |Reviewed|valid||
175407|Aquila chrysaetos|(Linnaeus, 1758)|Species        |Reviewed|valid||
824019|Aquila fasciata|Vieillot, 1822|Species        |Reviewed|valid||
180633|Arctocephalus australis|(Zimmermann, 1783)|Species        |Reviewed|valid||
180630|Arctocephalus gazella|(Peters, 1875)|Species        |Reviewed|valid||
180632|Arctocephalus tropicalis|(J. E. Gray, 1872)|Species        |Reviewed|valid||
|Ardenna gravis|||||
|Ardenna grisea|||||
|Ardenna tenuirostris|||||
169369|Argyrosomus japonicus|(Temminck and Schlegel, 1843)|Species        |Reviewed|valid||
572958|Ateles geoffroyi|Kuhl, 1820|Species        |Reviewed|valid||
555471|Athene noctua|(Scopoli, 1769)|Species        |Reviewed|valid||
552474|Axis axis|(Erxleben, 1777)|Species        |Reviewed|valid||
180533|Balaena mysticetus|Linnaeus, 1758|Species        |Reviewed|valid||
612592|Balaenoptera bonaerensis|Burmeister, 1867|Species        |Reviewed|valid||
1116965|Balaenoptera edeni brydei|Olsen, 1913|Subspecies     |Reviewed|valid||
180528|Balaenoptera musculus|(Linnaeus, 1758)|Species        |Reviewed|valid||
|Balaenoptera musuclus|||||
180527|Balaenoptera physalus|(Linnaeus, 1758)|Species        |Reviewed|valid||
|Baleaenoptera brydei|||||
180706|Bison bison|(Linnaeus, 1758)|Species        |Reviewed|valid||
183836|Bison bonasus|(Linnaeus, 1758)|Species        |Reviewed|valid||
183841|Bos gaurus|C. H. Smith, 1827|Species        |Reviewed|invalid|898713|Bos frontalis gaurus
183838|Bos taurus|Linnaeus, 1758|Species        |Reviewed|valid||
175011|Branta bernicla|(Linnaeus, 1758)|Species        |Reviewed|valid||
174999|Branta canadensis|(Linnaeus, 1758)|Species        |Reviewed|valid||
175014|Branta leucopsis|(Bechstein, 1803)|Species        |Reviewed|valid||
552476|Bubalus bubalis|(Linnaeus, 1758)|Species        |Reviewed|valid||
686683|Bubo scandiacus|(Linnaeus, 1758)|Species        |Reviewed|valid||
625135|Budorcas taxicolor|Hodgson, 1850|Species        |Reviewed|valid||
1103405|Bufotes viridis|(Laurenti, 1768)|Species        |Reviewed|valid||
176749|Burhinus oedicnemus|(Linnaeus, 1758)|Species        |Reviewed|valid||
175383|Buteo buteo|(Linnaeus, 1758)|Species        |Reviewed|valid||
175373|Buteo lagopus|(Pontoppidan, 1763)|Species        |Reviewed|valid||
1174549|Bycanistes albotibialis|(Cabanis & Reichenow, 1877)|Species        |Reviewed|valid||
202213|Caiman latirostris|(Daudin, 1801)|Species        |Reviewed|valid||
824535|Calidris canutus piersmai|Tomkovich, 2001|Subspecies     |Reviewed|valid||
180627|Callorhinus ursinus|(Linnaeus, 1758)|Species        |Reviewed|valid||
|Calonectris borealis|||||
203446|Calonectris diomedea|(Scopoli, 1769)|Species        |Reviewed|valid||
723253|Calonectris edwardsii|(Oustalet, 1883)|Species        |Reviewed|valid||
203449|Calonectris leucomelas|(Temminck, 1836)|Species        |Reviewed|valid||
625026|Camelus bactrianus|Linnaeus, 1758|Species        |Reviewed|valid||
625027|Camelus dromedarius|Linnaeus, 1758|Species        |Reviewed|valid||
98675|Cancer magister|Dana, 1852|Species        |Reviewed|valid||
180596|Canis lupus|Linnaeus, 1758|Species        |Reviewed|valid||
183817|Canis aureus|Linnaeus, 1758|Species        |Reviewed|valid||
180599|Canis latrans|Say, 1823|Species        |Reviewed|valid||
180596|Canis lupus|Linnaeus, 1758|Species        |Reviewed|valid||
726820|Canis lupus dingo|Meyer, 1793|Subspecies     |Reviewed|valid||
183818|Canis mesomelas|Schreber, 1775|Species        |Reviewed|valid||
180600|Canis rufus|Audubon and Bachman, 1851|Species        |Reviewed|invalid|726841|Canis lupus rufus
898264|Capra aegagrus|Erxleben, 1777|Species        |Reviewed|invalid|898774|Capra hircus aegagrus
|Capra aegagrus hircus|||||
625139|Capra ibex|Linnaeus, 1758|Species        |Reviewed|valid||
625063|Capreolus capreolus|(Linnaeus, 1758)|Species        |Reviewed|valid||
555569|Caprimulgus europaeus|Linnaeus, 1758|Species        |Reviewed|valid||
552775|Caracal caracal|(Schreber, 1776)|Species        |Reviewed|valid||
160354|Carcharhinus albimarginatus|(Rüppell, 1837)|Species        |Reviewed|valid||
160358|Carcharhinus amblyrhynchos|(Bleeker, 1856)|Species        |Reviewed|valid||
160310|Carcharhinus falciformis|(Müller and Henle, 1839)|Species        |Reviewed|valid||
160345|Carcharhinus galapagensis|(Snodgrass and Heller, 1905)|Species        |Reviewed|valid||
160275|Carcharhinus leucas|(Müller and Henle, 1839)|Species        |Reviewed|valid||
160318|Carcharhinus limbatus|(Müller and Henle, 1839)|Species        |Reviewed|valid||
160330|Carcharhinus longimanus|(Poey, 1861)|Species        |Reviewed|valid||
160365|Carcharhinus melanopterus|(Quoy and Gaimard, 1824)|Species        |Reviewed|valid||
160268|Carcharhinus obscurus|(Lesueur, 1818)|Species        |Reviewed|valid||
649702|Carcharhinus perezi|(Poey, 1876)|Species        |Reviewed|invalid|160336|Carcharhinus perezii
160289|Carcharhinus plumbeus|(Nardo, 1827)|Species        |Reviewed|valid||
159879|Carcharias taurus|Rafinesque, 1810|Species        |Reviewed|invalid|159888|Carcharias taurus
159888|Carcharias taurus|Rafinesque, 1810|Species        |Reviewed|valid||
159903|Carcharodon carcharias|(Linnaeus, 1758)|Species        |Reviewed|valid||
173830|Caretta caretta|(Linnaeus, 1758)|Species        |Reviewed|valid||
173830|Caretta caretta|(Linnaeus, 1758)|Species        |Reviewed|valid||
180212|Castor canadensis|Kuhl, 1820|Species        |Reviewed|valid||
573165|Castor fiber|Linnaeus, 1758|Species        |Reviewed|valid||
175265|Cathartes aura|(Linnaeus, 1758)|Species        |Reviewed|valid||
572977|Cebus capucinus|(Linnaeus, 1758)|Species        |Reviewed|valid||
175855|Centrocercus urophasianus|(Bonaparte, 1827)|Species        |Reviewed|valid||
